Age,Department,JobRole,YearsAtCompany,MonthlyIncome
39,Sales,HR Coordinator,24,12596
46,Human Resources,Manager,10,4164
58,Research & Development,Laboratory Technician,21,13206
35,Human Resources,Laboratory Technician,27,14304
37,Sales,Research Scientist,6,10120
30,Human Resources,Manager,26,18094
32,Sales,Laboratory Technician,8,18537
22,Sales,Research Scientist,20,14166
25,Research & Development,HR Coordinator,17,18752
53,Sales,Research Scientist,14,16685
35,Human Resources,Manager,18,7829
54,Human Resources,Sales Executive,1,16617
60,Sales,HR Coordinator,6,13337
24,Human Resources,Laboratory Technician,30,3737
39,Human Resources,Manager,15,11603
32,Sales,HR Coordinator,13,15271
34,Research & Development,Manager,1,6295
47,Sales,Sales Executive,19,16088
54,Sales,Research Scientist,30,9990
26,Research & Development,Laboratory Technician,9,13105
27,Human Resources,Research Scientist,7,14133
41,Human Resources,Manager,30,7887
42,Research & Development,Sales Executive,29,17296
60,Human Resources,HR Coordinator,22,12110
60,Human Resources,Sales Executive,12,12682
26,Human Resources,Manager,28,11844
45,Sales,Sales Executive,25,8522
34,Research & Development,HR Coordinator,12,16745
30,Sales,Research Scientist,7,11402
20,Research & Development,Manager,27,12151
56,Research & Development,Laboratory Technician,30,7550
48,Human Resources,Laboratory Technician,5,19334
42,Research & Development,Sales Executive,23,10158
48,Research & Development,HR Coordinator,11,14878
34,Human Resources,Sales Executive,3,6076
25,Human Resources,Research Scientist,25,10238
46,Sales,Laboratory Technician,26,14358
43,Research & Development,HR Coordinator,14,13306
20,Research & Development,HR Coordinator,19,12976
37,Human Resources,Laboratory Technician,6,18967
52,Sales,HR Coordinator,14,18132
35,Research & Development,HR Coordinator,18,18121
50,Research & Development,HR Coordinator,29,5661
58,Research & Development,Research Scientist,11,5346
43,Human Resources,HR Coordinator,2,4783
42,Human Resources,Manager,29,13438
51,Sales,Sales Executive,8,7046
47,Sales,Laboratory Technician,16,9761
29,Research & Development,Laboratory Technician,23,6034
39,Human Resources,HR Coordinator,24,17611
26,Research & Development,Laboratory Technician,4,6632
30,Human Resources,Laboratory Technician,17,18990
37,Sales,Research Scientist,22,8376
54,Human Resources,Manager,11,5206
30,Human Resources,Sales Executive,27,13640
52,Research & Development,Research Scientist,29,14916
42,Sales,Manager,30,11483
45,Research & Development,HR Coordinator,27,8087
20,Sales,Manager,15,19764
54,Human Resources,Research Scientist,19,12301
31,Sales,Research Scientist,19,4355
40,Human Resources,Research Scientist,19,18451
51,Research & Development,Sales Executive,14,7862
24,Human Resources,Research Scientist,27,12031
22,Sales,HR Coordinator,18,18619
29,Human Resources,Sales Executive,27,12399
58,Human Resources,Manager,26,6212
26,Human Resources,Manager,10,10215
47,Research & Development,HR Coordinator,15,8080
48,Research & Development,Research Scientist,21,12993
24,Human Resources,Laboratory Technician,20,18807
49,Research & Development,Laboratory Technician,1,12497
58,Sales,Laboratory Technician,16,4001
51,Sales,Laboratory Technician,27,3428
28,Human Resources,Research Scientist,4,13244
57,Research & Development,HR Coordinator,11,3310
20,Sales,Manager,21,8927
46,Research & Development,HR Coordinator,23,14215
57,Human Resources,Research Scientist,25,8111
55,Sales,Sales Executive,30,6525
44,Sales,Manager,7,5052
55,Research & Development,Manager,7,13614
31,Sales,Laboratory Technician,22,18842
35,Research & Development,Manager,10,13508
37,Sales,Sales Executive,18,11583
55,Human Resources,Sales Executive,17,4192
34,Sales,Manager,3,4030
43,Sales,Sales Executive,30,6107
43,Sales,HR Coordinator,14,9366
57,Research & Development,Laboratory Technician,16,6901
39,Human Resources,Laboratory Technician,16,13075
50,Research & Development,HR Coordinator,8,18843
39,Human Resources,Sales Executive,12,15576
39,Sales,HR Coordinator,0,10242
47,Research & Development,Manager,24,7769
59,Research & Development,HR Coordinator,14,3509
27,Human Resources,Manager,24,6641
51,Human Resources,Laboratory Technician,25,13929
41,Research & Development,Laboratory Technician,5,16749
39,Research & Development,Sales Executive,12,18096
43,Research & Development,Research Scientist,28,6389
49,Sales,Laboratory Technician,9,7901
33,Sales,HR Coordinator,0,5133
22,Research & Development,Research Scientist,22,4900
29,Research & Development,Manager,21,10850
27,Human Resources,Research Scientist,4,4113
25,Sales,Research Scientist,5,7736
26,Sales,Research Scientist,24,9968
43,Sales,HR Coordinator,4,8582
55,Sales,Laboratory Technician,24,19994
47,Human Resources,HR Coordinator,19,19321
51,Sales,Research Scientist,24,18223
44,Human Resources,HR Coordinator,24,9209
21,Research & Development,Research Scientist,25,14991
41,Human Resources,Laboratory Technician,4,17050
57,Sales,Sales Executive,10,12941
47,Human Resources,Sales Executive,22,7768
20,Research & Development,Sales Executive,29,19599
56,Research & Development,Manager,13,16597
59,Research & Development,HR Coordinator,12,15745
56,Sales,HR Coordinator,23,10472
54,Research & Development,HR Coordinator,1,14693
59,Research & Development,Manager,20,19011
40,Sales,Manager,15,5128
28,Human Resources,HR Coordinator,25,8651
44,Human Resources,Manager,12,15281
32,Research & Development,Laboratory Technician,0,6126
24,Human Resources,Laboratory Technician,28,6206
24,Human Resources,Sales Executive,16,5048
38,Research & Development,Manager,18,13142
55,Research & Development,Research Scientist,18,16417
38,Research & Development,Laboratory Technician,28,15496
40,Human Resources,Laboratory Technician,25,18909
38,Human Resources,Sales Executive,16,16996
57,Sales,Sales Executive,23,6803
32,Research & Development,Sales Executive,18,3743
46,Sales,Laboratory Technician,2,5974
46,Human Resources,HR Coordinator,2,4639
59,Research & Development,Laboratory Technician,25,17506
23,Human Resources,Sales Executive,3,8065
36,Research & Development,HR Coordinator,13,7848
24,Research & Development,HR Coordinator,30,16401
25,Human Resources,HR Coordinator,16,14159
54,Research & Development,Manager,26,12066
54,Research & Development,Sales Executive,22,4623
37,Research & Development,Manager,4,7580
58,Sales,Sales Executive,28,4025
37,Human Resources,Research Scientist,17,19274
55,Human Resources,Sales Executive,29,17029
46,Human Resources,Sales Executive,25,17900
59,Sales,HR Coordinator,15,10135
40,Human Resources,Laboratory Technician,14,11610
51,Sales,Laboratory Technician,13,3607
22,Human Resources,HR Coordinator,28,9201
41,Human Resources,HR Coordinator,12,7968
31,Research & Development,Manager,24,14637
51,Sales,Sales Executive,29,16478
54,Human Resources,Sales Executive,4,16842
25,Research & Development,Sales Executive,23,9399
49,Human Resources,Research Scientist,30,11513
23,Sales,Sales Executive,11,15783
33,Research & Development,Research Scientist,29,16457
42,Sales,Manager,19,18073
37,Research & Development,Manager,6,13815
23,Research & Development,Laboratory Technician,15,7955
46,Human Resources,Research Scientist,6,3727
21,Human Resources,Research Scientist,14,5756
54,Sales,HR Coordinator,20,10347
51,Human Resources,Laboratory Technician,8,4366
33,Research & Development,Research Scientist,26,14505
60,Human Resources,Research Scientist,17,8982
21,Human Resources,HR Coordinator,1,7381
24,Human Resources,Sales Executive,28,10253
21,Sales,Sales Executive,2,11413
45,Human Resources,Sales Executive,18,8478
43,Sales,Laboratory Technician,24,7212
59,Research & Development,Laboratory Technician,3,6189
46,Sales,Research Scientist,20,7829
48,Human Resources,Manager,30,8450
43,Sales,Laboratory Technician,8,17626
20,Human Resources,Manager,9,14106
50,Research & Development,HR Coordinator,20,7259
30,Sales,HR Coordinator,15,12237
26,Human Resources,Manager,23,18550
49,Research & Development,Laboratory Technician,29,4968
52,Sales,Sales Executive,17,16468
23,Human Resources,Manager,29,10374
42,Human Resources,HR Coordinator,9,19421
33,Research & Development,Sales Executive,18,10555
41,Research & Development,Sales Executive,3,5210
50,Human Resources,Laboratory Technician,13,19835
28,Human Resources,Research Scientist,19,5788
35,Human Resources,Laboratory Technician,16,7308
32,Research & Development,Sales Executive,9,11106
24,Sales,HR Coordinator,4,9295
50,Sales,Manager,8,9578
24,Sales,Sales Executive,15,9324
58,Human Resources,Sales Executive,16,13446
43,Research & Development,HR Coordinator,11,5999
50,Human Resources,Research Scientist,2,16219
24,Sales,Research Scientist,2,17213
50,Sales,Sales Executive,2,7044
43,Sales,Research Scientist,1,17131
28,Human Resources,Laboratory Technician,6,14144
30,Human Resources,Sales Executive,21,3682
30,Human Resources,HR Coordinator,0,16414
26,Research & Development,Research Scientist,11,7490
49,Research & Development,Sales Executive,9,12125
39,Human Resources,Laboratory Technician,28,14600
23,Human Resources,Sales Executive,19,3359
58,Human Resources,HR Coordinator,8,12042
25,Human Resources,Manager,28,9038
29,Human Resources,Laboratory Technician,13,8999
58,Research & Development,HR Coordinator,7,18164
